,555 DIP - 8,2P Terminal Block,Male Pinheader,Tactile Switch,LED,Jumpers,1M Pot,100k Pot,10k Pot,8 ohm speaker,Buzzer
PCB #1,4,8,18 Pins,1,3,8,1,0,0,,
PCB #2,4,6,26 Pins,1,0,8,1,2,1,,
